kiss,hug,pat,cry,slap
https://gifimage.net/wp-content/uploads/2018/04/kissing-anime-gif-4.gif,https://c.tenor.com/1fXGbo7KvNUAAAAC/tenor.gif,http://gifimage.net/wp-content/uploads/2017/09/anime-pat-gif-2.gif,https://c.tenor.com/usAx4sFHmRwAAAAi/chibi-yhad.gif,https://c.tenor.com/OT2E_JAFvecAAAAi/slap-cat.gif
http://gifimage.net/wp-content/uploads/2017/09/anime-forehead-kiss-gif-10.gif,http://gifimage.net/wp-content/uploads/2017/06/anime-hug-gif-11.gif,https://c.tenor.com/Av63tpT8Y14AAAAC/tenor.gif,https://c.tenor.com/cCXZ7q__7UAAAAAi/anime-cry.gif,https://c.tenor.com/QhsQeRQypMUAAAAC/slap-bear-slap.gif
http://s10.favim.com/orig/160602/anime-anime-couples-anime-kiss-gif-Favim.com-4370710.gif,http://gifimage.net/wp-content/uploads/2017/01/Anime-hug-GIF-Image-Download-10.gif,https://c.tenor.com/Q2ZjplN-dr4AAAAC/tenor.gif,https://c.tenor.com/q0nNfTktQ7wAAAAC/crying-anime.gif,https://c.tenor.com/gXM_tkVOancAAAAC/slap-butt-butt-slap.gif
https://media.tenor.com/images/d7542a2525f4d92f1ee0b14c21470665/tenor.gif,https://gifimage.net/wp-content/uploads/2018/10/anime-hug-cry-gif.gif,http://gifimage.net/wp-content/uploads/2017/09/anime-head-pat-gif-10.gif,https://c.tenor.com/N2qSCBkdracAAAAC/neko-anime.gif,https://c.tenor.com/Q87RFArH9QkAAAAC/slap-cat.gif
https://64.media.tumblr.com/tumblr_m7e3bsSLa71qeiou1o1_500.gif,https://gifimage.net/wp-content/uploads/2017/10/cute-anime-hug-gif-9.gif,https://c.tenor.com/BMejCjtrWs0AAAAC/tenor.gif,https://c.tenor.com/bMSZQ4j3CQkAAAAC/anime-cry.gif,https://c.tenor.com/L0U84S9YTrYAAAAC/pikachu-slap.gif
https://c.tenor.com/Ze6FyEgy4WAAAAAC/tenor.gif,https://c.tenor.com/_PBokdxjBMQAAAAC/tenor.gif,https://c.tenor.com/B1kiH7joJtkAAAAC/tenor.gif,https://c.tenor.com/kQeYDKr95h4AAAAC/anime-crying-crying-anime.gif,https://c.tenor.com/X-xCHJc5IqUAAAAC/boy-punish-mad.gif
https://64.media.tumblr.com/e14ed420800e7756934aa9058f0e1c7f/tumblr_mvckmnkug91sw3d45o1_500.gif,https://c.tenor.com/l0AcbwYY50sAAAAC/tenor.gif,https://64.media.tumblr.com/0ce0596ac1760ae9d3ff032972074a8d/tumblr_peb6js73li1sk6fb9_1280.gif,https://c.tenor.com/NHkQKH5CR2kAAAAC/anime-igarashi.gif,https://c.tenor.com/1lemb3ZmGf8AAAAC/anime-slap.gif
https://c.tenor.com/rkOJ9mekPK8AAAAC/tenor.gif,https://c.tenor.com/6w7XKLSqFEUAAAAd/tenor.gif,https://animemotivation.com/wp-content/uploads/2019/03/cute-gif-is-the-order-a-rabbit.gif,https://c.tenor.com/zOiOQIcAHk8AAAAC/ilulu-ilulu-crying.gif,https://c.tenor.com/d6kypk5bBL0AAAAC/slap-teddy-bear-stewie.gif
https://data.whicdn.com/images/250308781/original.gif,https://i.pinimg.com/originals/9e/26/20/9e2620c75c7e99deb982a3750de47cdb.gif,https://loginportal.funnyjunk.com/gifs/Headpat+reaction+something+simple+and+cute+i+guess_6d8a65_6488624.gif,https://c.tenor.com/KtmsDsp_99AAAAAC/anime-sad.gif,https://c.tenor.com/tKF3HiguDmEAAAAC/wrrruutchxxxxiii-slapt.gif
https://64.media.tumblr.com/0470d7a1275b0636ef3b504b9ea6b8e1/tumblr_onq159pW1L1u3p759o8_500.gif,https://acegif.com/wp-content/uploads/anime-hug.gif,https://media.tenor.com/images/b0637452004ec8d5ab6f0c4083048c39/tenor.gif,https://c.tenor.com/FPvXCv0GzRgAAAAC/no-sad.gif,https://c.tenor.com/9J6-jvGpilUAAAAC/slap.gif
